regulator	target	beta.sign.sum	prior	ens_tf	ens_target
HES1	RP11-34P13.16	-0.044400852458651101	0	ENSG00000114315	ENSG00000269981
SOX7	RP5-857K21.4	0.016329452778412801	1	ENSG00000171056	ENSG00000230021
PAX7	RP5-857K21.4	0.011989143979144299	1	ENSG00000009709	ENSG00000230021
ZBTB18	MTND1P23	0.34215296737966805	0	ENSG00000179456	ENSG00000225972
PBX2	MTND2P28	0.079865619172828306	1	ENSG00000204304	ENSG00000225630
MITF	MTND2P28	0.016015199266370302	1	ENSG00000187098	ENSG00000225630
SMAD1	MIR6723	0.14984523278064099	0	ENSG00000170365	ENSG00000237973
ZBTB18	MIR6723	0.15065928457604399	0	ENSG00000179456	ENSG00000237973
BATF	RP5-857K21.7	0.035241959889656199	1	ENSG00000156127	ENSG00000229344
NOBOX	MTATP8P1	0.15679722742844401	1	ENSG00000106410	ENSG00000240409
DLX1	MTATP6P1	-0.061648781358541099	1	ENSG00000144355	ENSG00000248527
BATF	RP5-857K21.11	0.083541017180312593	1	ENSG00000156127	ENSG00000198744
YBX1	RP11-206L10.2	0.098374001853369794	1	ENSG00000065978	ENSG00000228327
MLXIPL	RP11-206L10.2	0.082206819118312194	1	ENSG00000009950	ENSG00000228327
PRDM14	RP11-206L10.9	-0.040716117603965797	1	ENSG00000147596	ENSG00000237491
ARID5B	RP11-206L10.8	0.070860837519655301	0	ENSG00000150347	ENSG00000230092
SOX18	LINC01128	-0.039659981329666999	0	ENSG00000203883	ENSG00000228794
FOXF1	LINC01128	-0.067856110443964696	0	ENSG00000103241	ENSG00000228794
MAFG	SAMD11	0.035464933734046501	0	ENSG00000197063	ENSG00000187634
NFYB	NOC2L	0.0335991731216886	0	ENSG00000120837	ENSG00000188976
NFYA	NOC2L	0.0129734038502585	0	ENSG00000001167	ENSG00000188976
NFYC	NOC2L	0.013034785592076501	0	ENSG00000066136	ENSG00000188976
NFYB	KLHL17	0.11266605093903698	0	ENSG00000120837	ENSG00000187961
NFYA	KLHL17	0.030968498573931101	0	ENSG00000001167	ENSG00000187961
ZNF143	KLHL17	0.0318865531334891	0	ENSG00000166478	ENSG00000187961
IRF9	PLEKHN1	0.0177172630597838	0	ENSG00000213928	ENSG00000187583
MLX	PLEKHN1	-0.068423636737320007	0	ENSG00000108788	ENSG00000187583
GFI1B	PLEKHN1	-0.058742661057074097	0	ENSG00000165702	ENSG00000187583
MLX	PERM1	-0.031631876344484902	0	ENSG00000108788	ENSG00000187642
GFI1B	PERM1	-0.052002748460199401	0	ENSG00000165702	ENSG00000187642
RAX2	PERM1	0.047230275009847701	0	ENSG00000173976	ENSG00000187642
