regulator	target	beta.sign.sum	prior	ens_tf	ens_target
HES1	RP11-34P13.16	-0.039501227728692599	0	ENSG00000114315	ENSG00000269981
NEUROD1	RP5-857K21.4	0.037503876615405697	0	ENSG00000162992	ENSG00000230021
SPI1	RP5-857K21.4	0.0043743419204380204	0	ENSG00000066336	ENSG00000230021
ZBTB18	MTND1P23	0.217297504607117	0	ENSG00000179456	ENSG00000225972
FIGLA	MTND1P23	0.155915236118703	0	ENSG00000183733	ENSG00000225972
GSC	MTND1P23	-0.105812073972868	1	ENSG00000133937	ENSG00000225972
SMAD1	MIR6723	0.061593634956290201	0	ENSG00000170365	ENSG00000237973
SPI1	RP5-857K21.7	0.024789915791913999	0	ENSG00000066336	ENSG00000229344
THAP1	MTATP8P1	-0.22995754250857997	0	ENSG00000131931	ENSG00000240409
SOX11	MTATP6P1	-0.024910027456236501	0	ENSG00000176887	ENSG00000248527
ETS1	MTATP6P1	0.020005230879433601	0	ENSG00000134954	ENSG00000248527
CREB3	RP5-857K21.11	-0.074660381144382906	0	ENSG00000107175	ENSG00000198744
E2F4	RP5-857K21.11	-0.0147173014339425	0	ENSG00000205250	ENSG00000198744
YBX1	RP11-206L10.2	0.079042751625150703	1	ENSG00000065978	ENSG00000228327
POU4F2	RP11-206L10.2	-0.024155019800743801	0	ENSG00000151615	ENSG00000228327
MLXIPL	RP11-206L10.2	0.021754667668367401	1	ENSG00000009950	ENSG00000228327
ARID5B	RP11-206L10.8	0.041142002937111899	0	ENSG00000150347	ENSG00000230092
FOXF1	LINC01128	-0.035100879729991402	0	ENSG00000103241	ENSG00000228794
CTCF	RP11-54O7.1	0.0115130588541652	0	ENSG00000102974	ENSG00000230699
MAFG	SAMD11	0.013906529607955001	0	ENSG00000197063	ENSG00000187634
LBX2	NOC2L	0.065525730813797103	0	ENSG00000179528	ENSG00000188976
NFYB	NOC2L	0.0169370004751652	0	ENSG00000120837	ENSG00000188976
NFYA	KLHL17	0.016540456971311401	0	ENSG00000001167	ENSG00000187961
ZNF143	KLHL17	0.023726006189231201	0	ENSG00000166478	ENSG00000187961
NFYB	KLHL17	0.10508019646229499	0	ENSG00000120837	ENSG00000187961
IRF2	PLEKHN1	0.072823706917795397	0	ENSG00000168310	ENSG00000187583
MLX	PLEKHN1	-0.029502284054431199	0	ENSG00000108788	ENSG00000187583
FOXP2	PERM1	-0.080651452826830602	0	ENSG00000128573	ENSG00000187642
MLX	PERM1	-0.017757783458741901	0	ENSG00000108788	ENSG00000187642
IRF2	HES4	0.064867742251837404	0	ENSG00000168310	ENSG00000188290
IRF7	HES4	0.086851222777680898	0	ENSG00000185507	ENSG00000188290
IRF9	HES4	0.24767091247063297	0	ENSG00000213928	ENSG00000188290
MLX	HES4	-0.19693869786726398	0	ENSG00000108788	ENSG00000188290
EVX2	ISG15	0.24692372697830201	0	ENSG00000174279	ENSG00000187608
IRF9	ISG15	0.708287931848115	1	ENSG00000213928	ENSG00000187608
IRF3	ISG15	0.41966259692368701	1	ENSG00000126456	ENSG00000187608
MAFK	AGRN	0.070831888421682795	1	ENSG00000198517	ENSG00000188157
ESR2	AGRN	0.069929958182042701	0	ENSG00000140009	ENSG00000188157
ERG	AGRN	-0.040175317981626803	1	ENSG00000157554	ENSG00000188157
CREB1	RP11-465B22.3	0.256792181081546	0	ENSG00000118260	ENSG00000217801
TLX1	RP11-465B22.3	-0.15613727499711599	0	ENSG00000107807	ENSG00000217801
ESRRB	RP11-465B22.3	-0.114096733900673	0	ENSG00000119715	ENSG00000217801
ZNF350	RP11-465B22.3	-0.071673224204057806	0	ENSG00000256683	ENSG00000217801
ETV5	RP11-54O7.18	-0.10540850042892	0	ENSG00000244405	ENSG00000273443
ZFHX3	RP11-54O7.18	-0.017205838233229999	0	ENSG00000140836	ENSG00000273443
SPDEF	TTLL10	-0.025324490811763599	0	ENSG00000124664	ENSG00000162571
ATF1	TNFRSF18	0.19055565310850603	0	ENSG00000123268	ENSG00000186891
REL	TNFRSF4	0.22213161536120601	0	ENSG00000162924	ENSG00000186827
RELA	TNFRSF4	0.045650221094732699	0	ENSG00000173039	ENSG00000186827
ALX1	SDF4	-0.065788447097130207	0	ENSG00000180318	ENSG00000078808
ZNF384	FAM132A	-0.0089411872861806796	0	ENSG00000126746	ENSG00000184163
MBD2	FAM132A	-0.0145783049918853	0	ENSG00000134046	ENSG00000184163
NR2E1	UBE2J2	-0.051750362465614902	0	ENSG00000112333	ENSG00000160087
TCF7L2	UBE2J2	-0.0039898970622142399	0	ENSG00000148737	ENSG00000160087
HOXD13	RP5-902P8.10	0.010584563855444601	0	ENSG00000128714	ENSG00000230415
ESRRA	SCNN1D	0.048532824110497502	0	ENSG00000173153	ENSG00000162572
KLF14	ACAP3	0.128737924083242	0	ENSG00000266265	ENSG00000131584
ESRRA	ACAP3	0.020360111964938001	0	ENSG00000173153	ENSG00000131584
NFYB	ACAP3	0.057970372812720897	0	ENSG00000120837	ENSG00000131584
NFYA	PUSL1	0.053148748168289899	0	ENSG00000001167	ENSG00000169972
PBX3	CPSF3L	0.062317651795305601	0	ENSG00000167081	ENSG00000127054
KLF14	CPTP	0.097056911701430201	0	ENSG00000266265	ENSG00000224051
PBX3	CPTP	0.062549611180031106	0	ENSG00000167081	ENSG00000224051
SP3	AURKAIP1	0.0159648698726923	1	ENSG00000172845	ENSG00000175756
KLF4	AURKAIP1	0.020539489428508799	0	ENSG00000136826	ENSG00000175756
SP1	AURKAIP1	0.041934259913971497	1	ENSG00000185591	ENSG00000175756
KLF4	RP4-758J18.2	0.051169525256829197	1	ENSG00000136826	ENSG00000224870
ZNF143	RP4-758J18.2	0.064521307624104796	0	ENSG00000166478	ENSG00000224870
MAZ	RP4-758J18.2	0.086017288192460101	1	ENSG00000103495	ENSG00000224870
HESX1	MRPL20	-0.0307315435402001	0	ENSG00000163666	ENSG00000242485
GATA4	MRPL20	-0.024672841199495602	0	ENSG00000136574	ENSG00000242485
TCF12	VWA1	0.038541817457504901	0	ENSG00000140262	ENSG00000179403
MAFG	ATAD3C	0.009339444734552579	0	ENSG00000197063	ENSG00000215915
CEBPZ	ATAD3B	0.037271346781700597	0	ENSG00000115816	ENSG00000160072
CEBPZ	ATAD3A	0.080019266256525806	0	ENSG00000115816	ENSG00000197785
SP1	ATAD3A	0.0363712240719722	1	ENSG00000185591	ENSG00000197785
HIF1A	ATAD3A	0.044081517210075097	0	ENSG00000100644	ENSG00000197785
